Week,PREP,ART,SEP,PF
1,10.57072308,10.56886538,10.56811538,10.57072308
2,20.83145123,20.82078473,20.81702875,20.83145123
3,30.79169906,30.76478728,30.75916061,30.79169906
4,40.46067754,40.41165101,40.39951628,40.46067754
5,49.84569788,49.76615182,49.74406262,49.84569788
6,58.95544052,58.829579,58.80396637,58.95544052
7,67.79780223,67.61495635,67.58293697,67.79780223
8,76.3806211,76.12998215,76.08507214,76.3806211
9,84.71113833,84.37816097,84.31552568,84.71113833
10,92.79642512,92.36736857,92.28615948,92.79642512
11,100.6434965,100.102139,100.002774,100.6434965
12,108.2588976,107.5945395,107.4736241,108.2588976
13,115.64951,114.8504681,114.7031674,115.64951
14,122.8220386,121.8730722,121.700516,122.8220386
15,129.7821699,128.6690708,128.4697699,129.7821699
16,136.5358042,135.2462721,135.0208573,136.5358042
17,143.088673,141.612675,141.3630286,143.088673
18,149.4474936,147.7775739,147.5042689,149.4474936
19,155.615808,153.7453223,153.4516913,155.615808
20,161.599249,159.5236117,159.2106392,161.599249
21,167.4032296,165.1202088,164.7896166,167.4032296
22,173.0331362,170.5417179,170.1964527,173.0331362
23,178.4937396,175.7946261,175.4348061,178.4937396
24,183.789898,180.8859447,180.5110175,183.789898
25,188.9258357,185.8181556,185.4303397,188.9258357
26,193.9059888,190.5990443,190.1995822,193.9059888
27,198.7350787,195.2335536,194.8232535,198.7350787
28,203.4181998,199.7274671,199.3049271,203.4181998
29,207.9582555,204.0855477,203.6484917,207.9582555
30,212.3592398,208.3130738,207.8600951,212.3592398
31,216.626502,212.4142166,211.9425099,216.626502
32,220.7633306,216.3927057,215.9004458,220.7633306
33,224.7743159,220.2526892,219.7387317,224.7743159
34,228.6627384,223.9980897,223.4612003,228.6627384
35,232.4317479,227.6319948,227.0714772,232.4317479
36,236.0851548,231.1583152,230.5737149,236.0851548
37,239.6270202,234.5804809,233.9724701,239.6270202
38,243.0600941,237.9012208,237.2697896,243.0600941
39,246.3946553,241.1222744,240.4684339,246.3946553
40,249.6290525,244.243282,243.5727709,249.6290525
41,252.7691071,247.2708657,246.5857318,252.7691071
42,255.8183014,250.2067553,249.5095709,255.8183014
43,258.7785542,253.0499585,252.347385,258.7785542
44,261.6529324,255.8022713,255.1017933,261.6529324
45,264.443265,258.4716552,257.7753088,264.443265
46,267.1529737,261.0636816,260.3703712,267.1529737
47,269.7844964,263.5807541,262.889627,269.7844964
48,272.3393163,266.0235821,265.3351076,272.3393163
49,274.8193042,268.3910414,267.7091084,274.8193042
50,277.2269095,270.6846081,270.0138099,277.2269095
51,279.5641543,272.9067097,272.2511842,279.5641543
52,281.8334364,275.0626385,274.4233555,281.8334364
